id,name,address,governate,area,lat,lng,services
a2ecf0ba-d4c5-46ab-b013-1090b84d6d98,Abu Al Matamir,Alexandria St. in front of Abo Almatamir Youth Center,Al-Behera,Abu Al Matamir,30.912211,30.170589,Withdrawal
ccc384e5-1685-4e11-8714-0ebb44713258,Abu Al Matamir,Mohamed Metwally Alshaarawy St. - Abo Almatamir,Al-Behera,Abu Al Matamir,30.9107890830001,30.1770190500001,Withdrawal -Deposit – Forex
dd5110e3-dec0-478b-8749-f7f63515d1b3,Abu Al Matamir,The Village of Ten Thousand - Abu Almatamir,Al-Behera,Abu Al Matamir,30.814059021,29.988302447,Withdrawal -Deposit – Forex
f4cce849-681b-4404-9feb-e54bb1cfe134,Abu Al Matamir,Abo Almatamir - Beheira,Al-Behera,Abu Al Matamir,30.91584,30.176447,Withdrawal
dc9b6f97-4044-4e0d-970c-2404b5f847dc,Higher Institute of Administrative Scie. Janaklis,Abo Almatamir - Albuhiera,Al-Behera,Abu Al Matamir,30.8601142,30.15493118,"سحب فقط
"
e28fec03-c68d-44f5-9504-3a50bea39697,Etsalat - Almostaqbal Franchiez -Abo Almatamir,Abo Almatamir Alhaiar Bridge,Al-Behera,Abu Al Matamir,30.9063534,30.1736873,"سحب فقط
"
52b01e68-47a2-4c8d-9d99-115b042a55b5,Etsalat Albehera,Abo Almatamir Almarkaz St.,Al-Behera,Abu Al Matamir,30.91158881,30.17717889,"سحب فقط
"
7948b63e-518c-4f8c-b56e-4023246d47ad,Abo Almatamir Health Administration,Alexandria St. in front of Abo Almatamir Youth Center,Al-Behera,Abu Al Matamir,30.912211,30.170589,"Cash Dispenser only
"
c707718c-1080-45c3-95f0-c16897bf151f,Abu Almatamir Central Hospital,Abo Almatamir - Beheira,Al-Behera,Abu Al Matamir,30.91584,30.176447,"Cash Dispenser only
"
035f3bfe-ad27-4300-8319-22305c065bbc,Tamwely Abu El Matamir,"General Secondary St. Abu El Matamir Center, next to the post office and Abu El Matamir Police Station",Al-Behera,Abu Al Matamir,30.91290404,30.17689168,"withdrawal,deposit"
b1816eb1-f36e-413d-9773-3458c28d5368,Tanmiya Abu El Matamir," Al Shaarawy St., off Al-Islah Al-Zaari Mosque Street, next to Banque Misr",Al-Behera,Abu Al Matamir,30.91144225,30.17490715,"withdrawal,deposit "
29593a8e-c387-49a8-aad8-1f6da309917a,Tanmiya Nasser,Al-Nasser Village - Schools Street - next to the primary school - Abu al-Matamir Center - Beheira Governorate,Al-Behera,Abu Al Matamir,30.92230447,29.95121672,"withdrawal,deposit"
5e242752-d671-42fa-9c44-a75d1f2244d4,Abu Homos,Altaamen Alsehy St. - Abo Homos,Al-Behera,Abu Homos,31.099697,30.311892,Withdrawal
e8c3800e-415e-46fc-b4fe-3161f332c6ac,Abu Homos,The local unit - Abo Homos,Al-Behera,Abu Homos,31.100602,30.31555,Withdrawal
14eb37b0-517b-484c-b14e-d4435038a603,Abu Homos,Almdares St. - Abo Homos,Al-Behera,Abu Homos,31.1033,30.310782,Withdrawal
c85ed5b1-ac0e-4a81-85d9-5f03027aa077,Abu Homos,Abo Hommos Zahraa Division Mohamed Amer St.,Al-Behera,Abu Homos,31.0978261990001,30.314743218,Withdrawal -Deposit – Forex
