governate,area,lat,lng,services,cluster_cairo
Cairo,15th of May City,29.82874569,31.36742056,3.0,11
Cairo,15th of May City,29.842563,31.375574,1.0,11
Cairo,15th of May City,29.82733789,31.36639024,3.0,11
Cairo,15th of May City,29.83380572,31.35630875,3.0,11
Cairo,15th of May City,29.90343934,31.30950563,3.0,4
Cairo,15th of May City,29.842563,31.375574,2.0,11
Cairo,Abbassia,30.07216576,31.2855653,3.0,7
Cairo,Abbassia,30.066169,31.279672,1.0,7
Cairo,Abbassia,30.07101,31.286451,1.0,7
Cairo,Abbassia,30.071681,31.275023,1.0,7
Cairo,Abbassia,30.071193,31.283585,1.0,7
Cairo,Abbassia,30.072515,31.28539,1.0,7
Cairo,Abbassia,30.062917,31.264821,1.0,25
Cairo,Abbassia,30.06172467,31.27192604,3.0,25
Cairo,Abbassia,30.07494,31.287212,1.0,7
Cairo,Abbassia,30.070792,31.276714,1.0,7
Cairo,Abbassia,30.06484,31.279304,3.0,7
Cairo,Abbassia,30.073859,31.293938,3.0,7
Cairo,Abbassia,30.075703,31.28075,1.0,7
Cairo,Abbassia,30.077271,31.277646,1.0,7
Cairo,Abbassia,30.072012,31.283329,1.0,7
Cairo,Abbassia,30.064883,31.274777,1.0,25
Cairo,Abbassia,30.082032,31.287465,1.0,7
Cairo,Abbassia,30.055976,31.27673,1.0,25
Cairo,Abbassia,30.062422,31.273744,1.0,25
Cairo,Abbassia,30.07463,31.278334,1.0,7
Cairo,Abbassia,30.064539,31.281065,1.0,7
Cairo,Abbassia,30.075004,31.280328,1.0,7
Cairo,Abbassia,30.077069,31.289238,1.0,7
Cairo,Abbassia,30.076739,31.288906,1.0,7
Cairo,Abbassia,30.075395,31.276623,1.0,7
Cairo,Abbassia,30.073364,31.27684,1.0,7
Cairo,Abbassia,30.072286,31.276688,1.0,7
Cairo,Abbassia,30.071591,31.288335,3.0,7
Cairo,Abbassia,30.071543,31.288413,1.0,7
Cairo,Abbassia,30.066363,31.285149,3.0,7
Cairo,Abbassia,30.066387,31.285174,1.0,7
Cairo,Abbassia,30.072754,31.278841,1.0,7
Cairo,Abbassia,30.062898,31.284914,1.0,7
Cairo,Abbassia,30.07472198,31.28057614,1.0,7
Cairo,Abbassia,30.066363,31.285149,3.0,7
Cairo,Abbassia,30.073364,31.27684,1.0,7
Cairo,Abbassia,30.066387,31.285174,1.0,7
Cairo,Abbassia,30.064539,31.281065,2.0,7
Cairo,Abbassia,30.071543,31.288413,1.0,7
Cairo,Abbassia,30.075004,31.280328,1.0,7
Cairo,Abbassia,30.07463,31.278334,1.0,7
Cairo,Abbassia,30.075703,31.28075,1.0,7
Cairo,Abbassia,30.062422,31.273744,2.0,25
Cairo,Abbassia,30.062917,31.264821,2.0,25
Cairo,Abbassia,30.070792,31.276714,2.0,7
Cairo,Abbassia,30.072012,31.283329,3.0,7
Cairo,Abbassia,30.064883,31.274777,3.0,25
Cairo,Abbassia,30.082032,31.287465,1.0,7
Cairo,Abbassia,30.077271,31.277646,1.0,7
Cairo,Abbassia,30.072515,31.28539,1.0,7
Cairo,Abbassia,30.075395,31.276623,2.0,7
Cairo,Abbassia,30.066169,31.279672,1.0,7
Cairo,Abbassia,30.071681,31.275023,2.0,7
Cairo,Abbassia,30.072286,31.276688,2.0,7
Cairo,Abbassia,30.071193,31.283585,1.0,7
Cairo,Abdeen,30.039189,31.240701,1.0,1
Cairo,Abdeen,30.03939701,31.24053134,1.0,1
Cairo,Abdeen,30.044694,31.241252,1.0,1
Cairo,Abdeen,30.0485388,31.24426943,1.0,1
Cairo,Abdeen,30.0525326,31.24404837,1.0,1
Cairo,Abdeen,30.03474332,31.23670033,1.0,1
Cairo,Abdeen,30.043209,31.247291,1.0,1
Cairo,Abdeen,30.04554443,31.23715823,3.0,1
Cairo,Abdeen,30.05045378,31.24631628,3.0,1
Cairo,Abdeen,30.05142332,31.24243018,3.0,1
Cairo,Abdeen,30.04942378,31.24535224,3.0,1
Cairo,Abdeen,30.04005018,31.2367296,3.0,1
Cairo,Abdeen,30.0467444,31.24306567,1.0,1
Cairo,Abdeen,30.04806333,31.24416693,3.0,1
Cairo,Abdeen,30.040106,31.236976,1.0,1
Cairo,Abdeen,30.040223,31.235749,1.0,1
Cairo,Abdeen,30.04538,31.244359,1.0,1
Cairo,Abdeen,30.04725821,31.24254593,1.0,1
Cairo,Abdeen,30.04900944,31.24422502,1.0,1
Cairo,Abdeen,30.050892,31.245399,1.0,1
Cairo,Abdeen,30.041733,31.237285,1.0,1
Cairo,Abdeen,30.041744,31.237224,1.0,1
Cairo,Abdeen,29.981782,31.258219,2.0,8
Cairo,Abdeen,30.04530078,31.24371672,1.0,1
Cairo,Abdeen,30.04538,31.244359,1.0,1
Cairo,Abdeen,30.050892,31.245399,2.0,1
Cairo,Abdeen,30.043209,31.247291,1.0,1
Cairo,Abdeen,30.044694,31.241252,2.0,1
Cairo,Abdeen,30.045555,31.241395,2.0,1
Cairo,Abdeen,30.041675,31.238477,3.0,1
Cairo,Abdeen,30.051415,31.24243,3.0,1
Cairo,Ain Shams,30.132631,31.323687,1.0,22
Cairo,Ain Shams,30.139503,31.326609,1.0,22
Cairo,Ain Shams,30.126541,31.330057,1.0,22
Cairo,Ain Shams,30.127901,31.320934,1.0,22
Cairo,Ain Shams,30.094296,31.344778,1.0,10
Cairo,Ain Shams,30.13069,31.338008,1.0,22
Cairo,Ain Shams,30.113412,31.31407,1.0,16
Cairo,Ain Shams,30.13073,31.318725,1.0,22
Cairo,Ain Shams,30.125515,31.349041,3.0,22
Cairo,Ain Shams,30.114154,31.317929,1.0,16
Cairo,Ain Shams,30.114244,31.333264,1.0,10
Cairo,Ain Shams,30.120382,31.31767,1.0,22
Cairo,Ain Shams,30.123735,31.326028,3.0,22
Cairo,Ain Shams,30.12012082,31.32126158,1.0,22
Cairo,Ain Shams,30.11419904,31.3167881,1.0,16
Cairo,Ain Shams,30.114154,31.317929,2.0,16
Cairo,Ain Shams,30.113412,31.31407,1.0,16
Cairo,Ain Shams,30.120382,31.31767,1.0,22
Cairo,Ain Shams,30.139503,31.326609,1.0,22
Cairo,Ain Shams,30.114244,31.333264,1.0,10
Cairo,Ain Shams,30.126541,31.330057,1.0,22
Cairo,Ain Shams,30.132631,31.323687,1.0,22
Cairo,Ain Shams,30.123735,31.326028,3.0,22
Cairo,Ain Shams,30.12597829,31.33127184,1.0,22
Cairo,Ain Shams,30.1255147,31.34904119,3.0,22
Cairo,Ain Shams,30.13069,31.338008,2.0,22
Cairo,Ain Shams,30.12788916,31.34911409,3.0,22
Cairo,Ain Shams,30.13073,31.318725,1.0,22
Cairo,Ain Shams,30.073859,31.293938,3.0,7
Cairo,Ain Shams,30.127901,31.320934,1.0,22
Cairo,Ain Shams,30.125779,31.332679,3.0,22
Cairo,Al Maadi,29.97637,31.285456,1.0,8
Cairo,Al Maadi,29.95796139,31.25869566,3.0,8
Cairo,Al Maadi,29.96107506,31.24753716,3.0,8
Cairo,Al Maadi,29.972066,31.280299,1.0,8
Cairo,Al Maadi,29.987265,31.304763,1.0,20
