governate,area,lat,lng,services
Al-Behera,Abu Al Matamir,30.912211,30.170589,1.0
Al-Behera,Abu Al Matamir,30.91078908,30.17701905,3.0
Al-Behera,Abu Al Matamir,30.81405902,29.98830245,3.0
Al-Behera,Abu Al Matamir,30.91584,30.176447,1.0
Al-Behera,Abu Al Matamir,30.8601142,30.15493118,1.0
Al-Behera,Abu Al Matamir,30.9063534,30.1736873,1.0
Al-Behera,Abu Al Matamir,30.91158881,30.17717889,1.0
Al-Behera,Abu Al Matamir,30.912211,30.170589,2.0
Al-Behera,Abu Al Matamir,30.91584,30.176447,2.0
Al-Behera,Abu Al Matamir,30.91290404,30.17689168,2.0
Al-Behera,Abu Al Matamir,30.91144225,30.17490715,2.0
Al-Behera,Abu Al Matamir,30.92230447,29.95121672,2.0
Al-Behera,Abu Homos,31.099697,30.311892,1.0
Al-Behera,Abu Homos,31.100602,30.31555,1.0
Al-Behera,Abu Homos,31.1033,30.310782,1.0
Al-Behera,Abu Homos,31.0978262,30.31474322,3.0
Al-Behera,Abu Homos,31.105004,30.314502,1.0
Al-Behera,Abu Homos,31.1033,30.310782,1.0
Al-Behera,Abu Homos,31.100602,30.31555,1.0
Al-Behera,Abu Homos,31.105004,30.314502,2.0
Al-Behera,Abu Homos,31.099697,30.311892,2.0
Al-Behera,Al Mahmoudeya,31.18275058,30.52755669,3.0
Al-Behera,Al Mahmoudeya,31.184945,30.52952,1.0
Al-Behera,Al Mahmoudeya,31.175947,30.529477,1.0
Al-Behera,Al Mahmoudeya,31.183878,30.519738,1.0
Al-Behera,Al Mahmoudeya,31.1824926,30.52713284,1.0
Al-Behera,Al Mahmoudeya,31.1838385,30.52745446,1.0
Al-Behera,Al Mahmoudeya,31.184945,30.52952,1.0
Al-Behera,Al Mahmoudeya,31.175947,30.529477,1.0
Al-Behera,Al Mahmoudeya,31.183878,30.519738,1.0
Al-Behera,Al Mahmoudeya,31.18416312,30.52710423,2.0
Al-Behera,Al Rahmaneya,31.10691837,30.64172916,3.0
Al-Behera,Al Rahmaneya,31.103395,30.638362,1.0
Al-Behera,Al Rahmaneya,31.10958367,30.63910172,2.0
Al-Behera,Alnobaria Algadida,30.67059438,30.07277643,1.0
Al-Behera,Alnobaria Algadida,30.671835,30.073109,1.0
Al-Behera,Alnobaria Algadida,30.632194,30.2275,1.0
Al-Behera,Alnobaria Algadida,30.662002,30.08606,1.0
Al-Behera,Alnobaria Algadida,30.671835,30.073109,2.0
Al-Behera,Alnobaria Algadida,30.662002,30.08606,2.0
Al-Behera,Alnobaria Algadida,30.632194,30.2275,2.0
Al-Behera,Damanhour,31.026177,30.451221,1.0
Al-Behera,Damanhour,31.051574,30.463915,1.0
Al-Behera,Damanhour,31.032701,30.464771,1.0
Al-Behera,Damanhour,31.036388,30.457638,3.0
Al-Behera,Damanhour,31.037774,30.433125,3.0
Al-Behera,Damanhour,31.052879,30.462731,3.0
Al-Behera,Damanhour,31.03936,30.455253,1.0
Al-Behera,Damanhour,31.03975,30.458095,1.0
Al-Behera,Damanhour,31.044442,30.470853,1.0
Al-Behera,Damanhour,31.03450281,30.47469798,1.0
Al-Behera,Damanhour,31.03449464,30.47471262,1.0
Al-Behera,Damanhour,31.04241948,30.46890924,3.0
Al-Behera,Damanhour,31.036522,30.456495,1.0
Al-Behera,Damanhour,31.04408,30.475274,1.0
Al-Behera,Damanhour,31.041921,30.473102,1.0
Al-Behera,Damanhour,31.040307,30.468207,1.0
Al-Behera,Damanhour,31.04438807,30.4667885,1.0
Al-Behera,Damanhour,31.05193166,30.46430279,3.0
Al-Behera,Damanhour,31.04444207,30.47085251,1.0
Al-Behera,Damanhour,31.03428061,30.46823018,1.0
Al-Behera,Damanhour,31.03732147,30.45559064,3.0
Al-Behera,Damanhour,31.013742,30.57017929,3.0
Al-Behera,Damanhour,31.0463062,30.4652941,3.0
Al-Behera,Damanhour,31.040307,30.468207,1.0
Al-Behera,Damanhour,31.03936,30.455253,1.0
Al-Behera,Damanhour,31.03975,30.458095,1.0
Al-Behera,Damanhour,31.051574,30.463915,2.0
Al-Behera,Damanhour,31.026177,30.451221,2.0
Al-Behera,Damanhour,31.036522,30.456495,2.0
Al-Behera,Damanhour,31.032701,30.464771,2.0
Al-Behera,Damanhour,31.041921,30.473102,2.0
Al-Behera,Damanhour,31.04408,30.475274,2.0
Al-Behera,Damanhour,31.037774,30.433125,3.0
Al-Behera,Damanhour,31.02842246,30.44735618,3.0
Al-Behera,Damanhour,31.052879,30.462731,3.0
Al-Behera,Damanhour,31.036388,30.457638,3.0
Al-Behera,Damanhour,31.06715304,30.47713406,2.0
Al-Behera,Damanhour,31.032126,30.451576,3.0
Al-Behera,Damanhour,31.03146,30.459748,3.0
Al-Behera,Edco,31.301812,30.301819,3.0
Al-Behera,Edco,31.301812,30.301819,2.0
Al-Behera,El Dalangat,30.829702,30.535141,1.0
Al-Behera,El Dalangat,30.768322,30.594444,1.0
Al-Behera,El Dalangat,30.827806,30.536877,1.0
Al-Behera,El Dalangat,30.82785,30.536831,1.0
Al-Behera,El Dalangat,30.833752,30.530286,1.0
Al-Behera,El Dalangat,30.82974495,30.52961337,1.0
Al-Behera,El Dalangat,30.76832208,30.59444399,1.0
Al-Behera,El Dalangat,30.827806,30.536877,2.0
Al-Behera,El Dalangat,30.829702,30.535141,2.0
Al-Behera,El Dalangat,30.82785,30.536831,2.0
Al-Behera,El Dalangat,30.833752,30.530286,2.0
Al-Behera,El Dalangat,30.82955574,30.53589971,2.0
Al-Behera,Etay Al Barroud,30.886466,30.662967,1.0
Al-Behera,Etay Al Barroud,30.88483388,30.66364617,1.0
Al-Behera,Etay Al Barroud,30.884864,30.665297,1.0
Al-Behera,Etay Al Barroud,30.886553,30.667319,1.0
Al-Behera,Etay Al Barroud,30.880486,30.653383,3.0
Al-Behera,Etay Al Barroud,30.88655,30.667319,1.0
Al-Behera,Etay Al Barroud,30.86942495,30.70074488,3.0
Al-Behera,Etay Al Barroud,30.886466,30.662967,2.0
Al-Behera,Etay Al Barroud,30.88563219,30.65812817,3.0
Al-Behera,Etay Al Barroud,30.880486,30.653383,3.0
Al-Behera,Etay Al Barroud,30.88808594,30.67314422,2.0
Al-Behera,Housh Eissa,30.9135036,30.29365764,1.0
Al-Behera,Housh Eissa,30.912765,30.295561,1.0
Al-Behera,Housh Eissa,30.91770833,30.30043628,3.0
Al-Behera,Housh Eissa,30.915766,30.297315,1.0
Al-Behera,Housh Eissa,30.7009946,30.2682834,1.0
Al-Behera,Housh Eissa,30.915766,30.297315,2.0
Al-Behera,Housh Eissa,30.912765,30.295561,2.0
Al-Behera,Housh Eissa,30.91038848,30.29732155,2.0
Al-Behera,Kafr Al-Dawar,31.13386822,30.13512986,1.0
Al-Behera,Kafr Al-Dawar,31.135432,30.129149,1.0
Al-Behera,Kafr Al-Dawar,31.139199,30.121385,1.0
Al-Behera,Kafr Al-Dawar,31.139143,30.12155,1.0
Al-Behera,Kafr Al-Dawar,31.130591,30.122248,1.0
Al-Behera,Kafr Al-Dawar,31.130591,30.122248,1.0
Al-Behera,Kafr Al-Dawar,31.04241948,30.46890924,1.0
Al-Behera,Kafr Al-Dawar,31.139199,30.121385,2.0
Al-Behera,Kafr Al-Dawar,31.139199,30.121385,2.0
Al-Behera,Kafr Al-Dawar,31.139143,30.12155,2.0
Al-Behera,Kafr Al-Dawar,31.135432,30.129149,2.0
Al-Behera,Kafr Al-Dawar,30.997523,30.136301,3.0
Al-Behera,Koum Hamada,30.763683,30.704811,3.0
Al-Behera,Koum Hamada,30.7637539,30.69974764,3.0
Al-Behera,Koum Hamada,30.760111,30.694501,1.0
Al-Behera,Koum Hamada,30.699037,30.668604,1.0
Al-Behera,Koum Hamada,30.81082688,30.68590817,1.0
Al-Behera,Koum Hamada,30.69531566,30.73931943,1.0
Al-Behera,Koum Hamada,30.760111,30.694501,2.0
Al-Behera,Koum Hamada,30.699037,30.668604,2.0
Al-Behera,Koum Hamada,30.763683,30.704811,3.0
Al-Behera,Koum Hamada,30.73383215,30.77503088,2.0
Al-Behera,Markaz Badr,30.571713,30.711668,1.0
Al-Behera,Markaz Badr,30.57747,30.710336,1.0
Al-Behera,Markaz Badr,30.663293,30.566847,1.0
Al-Behera,Markaz Badr,30.57726731,30.71009132,1.0
Al-Behera,Markaz Badr,30.571713,30.711668,2.0
Al-Behera,Markaz Badr,30.57747,30.710336,2.0
Al-Behera,Markaz Badr,30.663293,30.566847,2.0
Al-Behera,Markaz Badr,30.5761452,30.7090382,2.0
Al-Behera,Rashid,31.40631062,30.4238614,3.0
Al-Behera,Rashid,31.40487,30.423086,1.0
Al-Behera,Rashid,31.392898,30.414696,1.0
Al-Behera,Rashid,31.288168,30.513992,1.0
Al-Behera,Rashid,31.40949916,30.42373416,1.0
Al-Behera,Rashid,31.39517685,30.42186514,1.0
Al-Behera,Rashid,31.40487,30.423086,2.0
Al-Behera,Rashid,31.392898,30.414696,2.0
Al-Behera,Rashid,31.288168,30.513992,2.0
Al-Behera,Shabrakhiet,31.024659,30.607641,1.0
Al-Behera,Shabrakhiet,31.03052168,30.71357679,3.0
Al-Behera,Shabrakhiet,31.027977,30.711581,1.0
Al-Behera,Shabrakhiet,31.027458,30.704211,1.0
Al-Behera,Shabrakhiet,31.027977,30.711581,2.0
Al-Behera,Shabrakhiet,31.024659,30.607641,2.0
Al-Behera,Shabrakhiet,31.027458,30.704211,2.0
Al-Behera,Shabrakhiet,30.98201643,30.6542905,3.0
Al-Behera,Shabrakhiet,31.02393382,30.60350721,3.0
Al-Behera,Shabrakhiet,31.05305248,30.69924925,3.0
Al-Behera,Shabrakhiet,31.02893672,30.71354872,2.0
